genes	module
A630089N07Rik	2
A730017L22Rik	2
A830010M20Rik	2
A830052D11Rik	2
A830080D01Rik	0
A930005H10Rik	6
A930024E05Rik	2
AA414768	0
AA415398	2
Mfsd4b4	0
AA543186	0
AB124611	0
AF251705	7
AI314180	1
AI413582	7
AI429214	2
AI467606	6
AI506816	4
AI597479	1
Ifi207	9
AI662270	1
AI837181	0
AI846148	3
AI987944	1
AK010878	7
AU019823	1
AU022252	1
AU022793	8
AU040320	4
AU041133	1
AW011738	0
AW112010	1
AW146154	7
AW209491	1
AW549877	1
AW554918	8
AY074887	0
Aaas	3
Aacs	0
Aaed1	0
Aagab	2
Aak1	8
Aamdc	0
Aamp	3
Aar2	6
Aars	4
Aars2	4
Aarsd1	3
Aasdh	8
Aasdhppt	1
Aatf	2
Aatk	4
Abca1	8
Abca2	6
Abca3	0
Abca7	6
Abca9	6
Abcb10	6
Abcb1b	6
Abcb4	0
Abcb6	0
Abcb7	1
Abcb8	4
Abcb9	5
Abcc1	6
Abcc10	4
Abcc3	4
Abcc4	1
Abcc5	2
Abcd1	4
Abcd2	6
Abcd3	6
Abcd4	2
Abce1	1
Abcf1	3
Abcf2	4
Abcf3	3
Abcg1	4
Abcg2	1
Abcg3	5
Abhd10	2
Abhd11	2
Abhd12	5
Abhd13	1
Abhd14a	0
Abhd14b	3
Abhd15	3
Abhd16a	5
Abhd17a	5
Abhd17b	1
Abhd17c	6
Abhd2	1
Abhd3	0
Abhd4	5
Abhd5	1
Abhd6	7
Abhd8	3
Abi1	1
Abi2	1
Abi3	3
Abl1	4
Abl2	2
Ablim1	0
Abr	4
Abracl	7
Abt1	0
Abtb1	3
Acaa1a	3
Acaa2	3
Acaca	8
Acad10	0
Acad11	0
Acad12	3
Acad8	3
Acad9	6
Acadl	3
Acadm	3
Acads	5
Acadsb	6
Acadvl	3
Acap2	1
Acap3	0
Acat1	1
Acat2	0
Acbd3	1
Acbd4	3
Acbd5	1
Acbd6	3
Accs	3
Acd	3
Acer3	1
Ache	0
Acin1	2
Acly	4
Aco1	4
Aco2	4
Acot13	7
Acot2	3
Acot7	3
Acot8	3
Acot9	1
Acox1	0
Acox3	4
Acp1	6
Acp2	4
Acp6	3
Acrbp	2
Acsf2	4
Acsf3	4
Acsl1	5
Acsl3	0
Acsl4	1
Acsl5	6
Acss1	0
Acss2	2
Actb	3
Actg1	1
Actl6a	0
Actn1	3
Actn4	4
Actr10	6
Actr1a	5
Actr1b	2
Actr2	1
Actr3	1
Actr5	2
Actr6	1
Actr8	2
Acvr1	1
Acvr1b	0
Acvr2a	1
Acvr2b	2
Acvrl1	5
Acy1	4
Acyp1	1
Ada	4
Adal	2
Adam10	1
Adam15	4
Adam17	6
Adam22	1
Adam3	2
Adam9	1
Adamts1	0
Adamts10	2
Adamts16	0
Adamtsl2	4
Adap1	5
Adap2	2
Adar	0
Adarb1	0
Adat1	0
Adat2	1
Adck1	0
Adck2	4
Coq8a	3
Coq8b	3
Adck5	3
Adcy3	0
Adcy7	8
Adcy8	9
Adcy9	2
Add1	6
Add3	5
Adgra2	4
Adgre1	1
Adgre4	3
Adgrg1	5
Adgrl1	2
Adgrl2	2
Adh5	5
Adhfe1	2
Adi1	1
Adipor1	5
Adipor2	2
Adk	0
Adnp2	0
Ado	9
Adora3	1
Adpgk	0
Adprh	5
Adprhl2	3
Adprm	7
Adra2a	1
Adrb1	3
Adrb2	1
Grk2	3
Grk3	2
Adrm1	3
Adsl	3
Adss	1
Adssl1	5
Adtrp	2
Aebp2	8
Aen	2
Aes	5
Afap1	1
Afap1l1	2
Aff1	0
Aff4	8
Afg3l1	3
Afg3l2	5
Afmid	0
Afp	6
Aftph	8
Aga	1
Agap1	2
Agap3	3
Agbl3	0
Agbl5	0
Agfg1	6
Agfg2	5
Aggf1	3
Agk	0
Agl	1
Agmo	6
Ago1	2
Ago2	2
Ago3	8
Ago4	3
Agpat1	3
Agpat2	3
Agpat3	4
Agpat4	5
Agpat5	1
Gpat4	5
Agps	1
Agrn	0
Agtpbp1	1
Agtrap	4
Ahctf1	0
Ahcyl1	6
Ahcyl2	4
Ahdc1	2
Ahi1	1
Ahsa1	3
Ahsa2	10
Aida	7
Aif1	9
Aifm1	6
Aig1	1
Aim2	2
Aimp1	3
Aimp2	5
Aip	3
Ajuba	5
Ak1	9
Ak2	2
Ak3	5
Ak6	7
Akap1	6
Akap10	2
Akap11	8
Akap13	2
Akap5	2
Akap7	0
Akap8	2
Akap8l	2
Akap9	2
Akip1	7
Akirin1	1
Akirin2	10
Akna	2
Akr1a1	9
Akr1b10	3
Akr1c13	6
Akr1e1	9
Akr7a5	3
Akt1	3
Akt1s1	3
Akt2	4
Akt3	1
Aktip	0
Alad	5
Alas1	5
Aldh16a1	4
Aldh18a1	6
Aldh1b1	5
Aldh1l2	0
Aldh2	4
Aldh3a2	6
Aldh3b1	3
Aldh4a1	5
Aldh6a1	6
Aldh7a1	3
Aldh9a1	4
Aldoa	5
Aldoc	6
Alg1	5
Alg10b	8
Alg11	1
Alg12	0
Alg13	8
Alg14	0
Alg2	1
Alg3	6
Alg5	6
Alg6	1
Alg8	1
Alg9	6
Alkbh1	2
Alkbh2	2
Alkbh3	2
Alkbh4	0
Alkbh5	1
Alkbh6	2
Alkbh7	0
Alkbh8	1
Alox5	5
Alox5ap	9
Alpk1	0
Als2	0
Alyref	3
Alyref2	2
Amacr	5
Ambra1	4
Amdhd2	0
Amer1	2
Amer2	9
Amfr	6
Amigo1	5
Amigo3	0
Ammecr1	1
Ammecr1l	1
Amn1	1
Amotl1	9
Ampd2	4
Ampd3	4
Amz1	5
Amz2	0
Anapc1	1
Anapc10	8
Anapc11	7
Anapc13	7
Anapc15	2
Anapc16	3
Anapc2	4
Anapc4	1
Anapc5	0
Anapc7	0
Ang	3
Angel1	5
Angel2	10
Angptl6	3
Angptl7	5
Ank	1
Ank2	0
Ankdd1b	4
Ankfy1	1
Ankhd1	2
Ankib1	1
Ankle2	6
Ankmy2	0
Ankra2	0
Ankrd10	10
Ankrd11	2
Ankrd12	2
Ankrd13a	4
Ankrd13c	1
Ankrd13d	2
Ankrd16	2
Ankrd17	2
Ankrd24	7
Ankrd26	2
Ankrd27	4
Slf1	1
Ankrd37	1
Ankrd39	8
Ankrd40	0
Ankrd44	1
Ankrd46	1
Ankrd49	1
Ankrd50	0
Ankrd52	2
Ankrd54	2
Ankrd9	5
Anks1	4
Anks3	2
Anks6	2
Ankzf1	2
Ano10	5
Ano6	5
Ano7	2
Ano8	3
Anp32a	2
Anp32b	2
Anp32e	1
Antxr2	0
Anxa11	4
Anxa2	9
Anxa3	7
Anxa4	5
Anxa5	5
Anxa6	4
Anxa7	6
Ap1ar	0
Ap1b1	4
Ap1g1	1
Ap1g2	3
Ap1m1	4
Ap1s1	5
Ap1s2	7
Ap2a1	4
Ap2a2	4
Ap2b1	0
Ap2m1	3
Ap2s1	3
Ap3b1	0
Ap3d1	2
Ap3m1	1
Ap3m2	0
Ap3s1	1
Ap3s2	1
Ap4b1	0
Ap4e1	0
Ap4m1	2
Ap4s1	7
Ap5b1	4
Ap5m1	1
Ap5s1	3
Ap5z1	2
Apaf1	1
Apba1	2
Apba3	3
Apbb1	5
Apbb1ip	0
Apbb2	1
Apbb3	2
Apc	2
Apeh	3
Apex1	3
Apex2	0
Aph1a	0
Aph1b	1
Aph1c	0
Api5	6
Apip	7
Apitd1	0
Aplf	0
Aplp1	4
Aplp2	5
Apmap	6
Apoa1bp	5
Apobec1	2
Apobec2	0
Apobec3	0
Apobr	3
