genes	module
A830052D11Rik	1
A830080D01Rik	1
A930005H10Rik	3
A930013F10Rik	1
A930024E05Rik	4
AA414768	0
AA415398	0
Mfsd4b4	0
AA543186	0
AB124611	9
AF251705	5
AI314180	1
AI413582	5
AI429214	4
AI467606	5
AI506816	0
AI597479	1
Ifi207	8
AI662270	0
AI837181	0
AI846148	2
AI987944	3
AK010878	0
AU019823	1
AU022252	0
AU022793	1
AU040320	0
AU041133	1
AW011738	0
AW112010	9
AW146154	0
AW209491	3
AW549877	1
AW554918	0
AY074887	0
Aaas	5
Aacs	0
Aaed1	0
Aagab	4
Aak1	1
Aamdc	5
Aamp	2
Aar2	7
Aars	0
Aars2	6
Aarsd1	2
Aasdh	1
Aasdhppt	3
Aatf	0
Aatk	6
Abca1	1
Abca2	0
Abca3	0
Abca7	0
Abca9	3
Abcb10	0
Abcb1b	8
Abcb4	0
Abcb6	7
Abcb7	1
Abcb8	0
Abcb9	0
Abcc1	0
Abcc10	0
Abcc3	0
Abcc4	1
Abcc5	1
Abcd1	2
Abcd2	0
Abcd3	3
Abcd4	4
Abce1	3
Abcf1	2
Abcf2	6
Abcf3	2
Abcg1	2
Abcg2	3
Abcg3	2
Abhd10	0
Abhd11	4
Abhd12	7
Abhd13	3
Abhd14a	0
Abhd14b	2
Abhd15	2
Abhd16a	7
Abhd17a	2
Abhd17b	3
Abhd17c	3
Abhd2	0
Abhd3	0
Abhd4	2
Abhd5	3
Abhd6	5
Abhd8	2
Abi1	3
Abi2	1
Abi3	2
Abl1	6
Abl2	1
Ablim1	6
Abr	0
Abracl	5
Abt1	0
Abtb1	2
Acaa1a	2
Acaa2	2
Acaca	1
Acad10	0
Acad11	0
Acad12	0
Acad8	2
Acad9	0
Acadl	2
Acadm	2
Acads	2
Acadsb	3
Acadvl	2
Acap2	1
Acap3	0
Acat1	3
Acat2	5
Acbd3	3
Acbd4	2
Acbd5	3
Acbd6	2
Accs	2
Acd	2
Acer3	3
Ache	0
Acin1	4
Acly	0
Aco1	0
Aco2	2
Acot13	5
Acot2	0
Acot7	0
Acot8	2
Acot9	7
Acox1	0
Acox3	0
Acp1	3
Acp2	0
Acp6	2
Acrbp	4
Acsf2	0
Acsf3	0
Acsl1	0
Acsl3	0
Acsl4	1
Acsl5	3
Acss1	0
Acss2	2
Actb	4
Actg1	8
Actl6a	0
Actn1	0
Actn4	2
Actr10	3
Actr1a	2
Actr1b	4
Actr2	1
Actr3	3
Actr5	4
Actr6	3
Actr8	0
Acvr1	0
Acvr1b	4
Acvr2a	1
Acvr2b	0
Acvrl1	7
Acy1	2
Acyp1	3
Ada	2
Adal	4
Adam10	3
Adam15	7
Adam17	3
Adam22	8
Adam3	0
Adam9	3
Adamts1	0
Adamts10	4
Adamts16	1
Adamtsl2	0
Adap1	7
Adap2	4
Adar	8
Adarb1	0
Adat1	1
Adat2	0
Adck1	2
Adck2	0
Coq8a	2
Coq8b	2
Adck5	4
Adcy3	8
Adcy7	1
Adcy8	8
Adcy9	1
Add1	0
Add3	7
Adgra2	0
Adgre1	3
Adgre4	0
Adgrg1	8
Adgrl1	4
Adgrl2	0
Adh5	5
Adhfe1	1
Adi1	3
Adipor1	7
Adipor2	4
Adk	3
Adnp2	0
Ado	3
Adora3	8
Adpgk	3
Adprh	2
Adprhl2	2
Adprm	4
Adra2a	1
Adrb1	2
Adrb2	3
Grk2	6
Grk3	1
Adrm1	2
Adsl	2
Adss	3
Adssl1	2
Adtrp	0
Aebp2	1
Aen	0
Aes	2
Afap1	1
Afap1l1	2
Aff1	0
Aff4	1
Afg3l1	0
Afg3l2	7
Afmid	0
Afp	8
Aftph	1
Aga	3
Agap1	4
Agap3	6
Agbl3	0
Agbl5	1
Agfg1	3
Agfg2	0
Aggf1	0
Agk	0
Agl	1
Agmo	3
Ago1	4
Ago2	1
Ago3	1
Ago4	4
Agpat1	0
Agpat2	2
Agpat3	0
Agpat4	2
Agpat5	3
Gpat4	7
Agps	1
Agrn	0
Agtpbp1	1
Agtrap	0
Ahctf1	1
Ahcy	0
Ahcyl1	3
Ahcyl2	0
Ahdc1	1
Ahi1	3
Ahsa1	0
Ahsa2	0
Aida	0
Aif1	0
Aifm1	5
Aig1	3
Aim2	1
Aimp1	5
Aimp2	2
Aip	2
Ajuba	0
Ak1	8
Ak2	0
Ak3	2
Ak6	5
Akap1	8
Akap10	1
Akap11	1
Akap13	4
Akap5	4
Akap7	0
Akap8	4
Akap8l	4
Akap9	4
Akip1	5
Akirin1	3
Akirin2	0
Akna	4
Akr1a1	7
Akr1b10	0
Akr1c13	5
Akr1e1	8
Akr7a5	2
Akt1	2
Akt1s1	2
Akt2	2
Akt3	1
Aktip	0
Alad	7
Alas1	7
Aldh16a1	2
Aldh18a1	8
Aldh1b1	7
Aldh1l2	0
Aldh2	2
Aldh3a2	0
Aldh3b1	2
Aldh4a1	0
Aldh6a1	3
Aldh7a1	2
Aldh9a1	2
Aldoa	2
Aldoc	0
Alg1	7
Alg10b	1
Alg11	3
Alg12	4
Alg13	1
Alg14	5
Alg2	3
Alg3	7
Alg5	3
Alg6	3
Alg8	3
Alg9	3
Alkbh1	1
Alkbh2	2
Alkbh3	0
Alkbh4	0
Alkbh5	0
Alkbh6	4
Alkbh7	5
Alkbh8	1
Alox5	2
Alox5ap	5
Alpk1	1
Als2	0
Alyref	5
Alyref2	0
Amacr	2
Ambra1	6
Amdhd2	0
Amer1	1
Amer2	8
Amfr	3
Amigo1	0
Amigo3	0
Ammecr1	1
Ammecr1l	1
Amn1	0
Amotl1	1
Ampd2	0
Ampd3	6
Amz1	8
Amz2	0
Anapc1	1
Anapc10	3
Anapc11	5
Anapc13	5
Anapc15	1
Anapc16	2
Anapc2	0
Anapc4	3
Anapc5	0
Anapc7	0
Ang	2
Angel1	7
Angel2	1
Angptl3	4
Angptl6	0
Angptl7	0
Ank	3
Ank2	4
Ankdd1b	0
Ankfy1	1
Ankhd1	1
